日付,部門,商品名,販売数量,単価,売上金額,顧客区分,地域
2025-01-23,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,個人,仙台
2025-01-23,コンシューマー事業部,ワイヤレスイヤホン Elite,18,24800,446400,量販店,仙台
2025-01-23,コンシューマー事業部,ポータブルスピーカー SX,10,18500,185000,量販店,東京
2025-01-23,コンシューマー事業部,モバイルバッテリー Plus,31,6980,216380,個人,名古屋
2025-01-23,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,大企業,東京
2025-01-23,法人ソリューション事業部,サーバー保守契約,2,180000,360000,中小企業,福岡
2025-01-23,法人ソリューション事業部,導入コンサルティング,1,800000,800000,教育機関,大阪
2025-01-23,EC事業部,アクセサリーセット,36,4980,179280,個人,—
2025-01-23,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-23,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-23,EC事業部,サブスクリプションBOX,14,3980,55720,個人,—
2025-01-23,EC事業部,カスタマイズケース,20,2980,59600,個人,—
2025-01-23,海外事業部,SmartWatch Pro (NA),10,42800,428000,海外代理店,北米
2025-01-23,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-23,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-23,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外代理店,北米
2025-01-24,コンシューマー事業部,スマートウォッチ Pro,12,39800,477600,個人,福岡
2025-01-24,コンシューマー事業部,ワイヤレスイヤホン Elite,18,24800,446400,個人,仙台
2025-01-24,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,東京
2025-01-24,コンシューマー事業部,モバイルバッテリー Plus,46,6980,321080,個人,大阪
2025-01-24,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,中小企業,東京
2025-01-24,法人ソリューション事業部,サーバー保守契約,3,180000,540000,中小企業,大阪
2025-01-24,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,名古屋
2025-01-24,法人ソリューション事業部,導入コンサルティング,1,800000,800000,大企業,名古屋
2025-01-24,EC事業部,アクセサリーセット,36,4980,179280,個人,—
2025-01-24,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-24,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2025-01-24,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2025-01-24,EC事業部,カスタマイズケース,19,2980,56620,個人,—
2025-01-24,海外事業部,SmartWatch Pro (NA),9,42800,385200,海外直販,北米
2025-01-24,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2025-01-24,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2025-01-24,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外直販,北米
2025-01-25,コンシューマー事業部,スマートウォッチ Pro,26,39800,1034800,量販店,福岡
2025-01-25,コンシューマー事業部,ワイヤレスイヤホン Elite,42,24800,1041600,個人,福岡
2025-01-25,コンシューマー事業部,ポータブルスピーカー SX,22,18500,407000,個人,仙台
2025-01-25,コンシューマー事業部,モバイルバッテリー Plus,81,6980,565380,個人,福岡
2025-01-25,EC事業部,アクセサリーセット,42,4980,209160,個人,—
2025-01-25,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-25,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-25,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2025-01-25,EC事業部,カスタマイズケース,38,2980,113240,個人,—
2025-01-25,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外直販,北米
2025-01-25,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-25,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2025-01-25,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外代理店,北米
2025-01-26,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,個人,仙台
2025-01-26,コンシューマー事業部,ワイヤレスイヤホン Elite,48,24800,1190400,個人,札幌
2025-01-26,コンシューマー事業部,ポータブルスピーカー SX,21,18500,388500,個人,福岡
2025-01-26,コンシューマー事業部,モバイルバッテリー Plus,64,6980,446720,量販店,仙台
2025-01-26,EC事業部,アクセサリーセット,33,4980,164340,個人,—
2025-01-26,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-26,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2025-01-26,EC事業部,サブスクリプションBOX,26,3980,103480,個人,—
2025-01-26,EC事業部,カスタマイズケース,37,2980,110260,個人,—
2025-01-26,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外代理店,北米
2025-01-26,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外直販,欧州
2025-01-26,海外事業部,Portable Speaker (APAC),3,19800,59400,海外代理店,アジア太平洋
2025-01-26,海外事業部,Mobile Battery Plus (NA),9,7980,71820,海外代理店,北米
2025-01-27,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,個人,大阪
2025-01-27,コンシューマー事業部,ワイヤレスイヤホン Elite,28,24800,694400,個人,仙台
2025-01-27,コンシューマー事業部,ポータブルスピーカー SX,8,18500,148000,量販店,仙台
2025-01-27,コンシューマー事業部,モバイルバッテリー Plus,38,6980,265240,量販店,福岡
2025-01-27,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,大企業,名古屋
2025-01-27,法人ソリューション事業部,サーバー保守契約,4,180000,720000,教育機関,名古屋
2025-01-27,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,大阪
2025-01-27,EC事業部,アクセサリーセット,34,4980,169320,個人,—
2025-01-27,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-27,EC事業部,リファービッシュ品,5,19800,99000,個人,—
2025-01-27,EC事業部,サブスクリプションBOX,16,3980,63680,個人,—
2025-01-27,EC事業部,カスタマイズケース,25,2980,74500,個人,—
2025-01-27,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外代理店,北米
2025-01-27,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-27,海外事業部,Portable Speaker (APAC),5,19800,99000,海外直販,アジア太平洋
2025-01-27,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2025-01-28,コンシューマー事業部,スマートウォッチ Pro,15,39800,597000,量販店,仙台
2025-01-28,コンシューマー事業部,ワイヤレスイヤホン Elite,27,24800,669600,個人,東京
2025-01-28,コンシューマー事業部,ポータブルスピーカー SX,11,18500,203500,個人,大阪
2025-01-28,コンシューマー事業部,モバイルバッテリー Plus,47,6980,328060,量販店,仙台
2025-01-28,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,大企業,大阪
2025-01-28,法人ソリューション事業部,サーバー保守契約,4,180000,720000,大企業,福岡
2025-01-28,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,中小企業,名古屋
2025-01-28,法人ソリューション事業部,導入コンサルティング,1,800000,800000,大企業,大阪
2025-01-28,EC事業部,アクセサリーセット,37,4980,184260,個人,—
2025-01-28,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-28,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2025-01-28,EC事業部,サブスクリプションBOX,17,3980,67660,個人,—
2025-01-28,EC事業部,カスタマイズケース,26,2980,77480,個人,—
2025-01-28,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-28,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外直販,欧州
2025-01-28,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-28,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2025-01-29,コンシューマー事業部,スマートウォッチ Pro,11,39800,437800,個人,福岡
2025-01-29,コンシューマー事業部,ワイヤレスイヤホン Elite,24,24800,595200,個人,名古屋
2025-01-29,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,個人,札幌
2025-01-29,コンシューマー事業部,モバイルバッテリー Plus,29,6980,202420,量販店,福岡
2025-01-29,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,官公庁,東京
2025-01-29,法人ソリューション事業部,サーバー保守契約,7,180000,1260000,大企業,福岡
2025-01-29,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,大企業,福岡
2025-01-29,法人ソリューション事業部,導入コンサルティング,2,800000,1600000,中小企業,名古屋
2025-01-29,EC事業部,アクセサリーセット,31,4980,154380,個人,—
2025-01-29,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-29,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2025-01-29,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2025-01-29,EC事業部,カスタマイズケース,25,2980,74500,個人,—
2025-01-29,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外直販,北米
2025-01-29,海外事業部,Wireless Earbuds Elite (EU),12,27800,333600,海外直販,欧州
2025-01-29,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2025-01-29,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外代理店,北米
2025-01-30,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,個人,仙台
2025-01-30,コンシューマー事業部,ワイヤレスイヤホン Elite,27,24800,669600,個人,名古屋
2025-01-30,コンシューマー事業部,ポータブルスピーカー SX,9,18500,166500,量販店,名古屋
2025-01-30,コンシューマー事業部,モバイルバッテリー Plus,34,6980,237320,個人,名古屋
2025-01-30,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,官公庁,名古屋
2025-01-30,法人ソリューション事業部,サーバー保守契約,7,180000,1260000,教育機関,大阪
2025-01-30,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,官公庁,福岡
2025-01-30,法人ソリューション事業部,導入コンサルティング,1,800000,800000,中小企業,東京
2025-01-30,EC事業部,アクセサリーセット,32,4980,159360,個人,—
2025-01-30,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2025-01-30,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2025-01-30,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2025-01-30,EC事業部,カスタマイズケース,31,2980,92380,個人,—
2025-01-30,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-30,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-30,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2025-01-30,海外事業部,Mobile Battery Plus (NA),15,7980,119700,海外代理店,北米
2025-01-31,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,個人,札幌
2025-01-31,コンシューマー事業部,ワイヤレスイヤホン Elite,23,24800,570400,個人,大阪
2025-01-31,コンシューマー事業部,ポータブルスピーカー SX,14,18500,259000,個人,仙台
2025-01-31,コンシューマー事業部,モバイルバッテリー Plus,38,6980,265240,量販店,名古屋
2025-01-31,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,教育機関,名古屋
2025-01-31,法人ソリューション事業部,サーバー保守契約,7,180000,1260000,中小企業,大阪
2025-01-31,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,教育機関,大阪
2025-01-31,法人ソリューション事業部,導入コンサルティング,1,800000,800000,教育機関,福岡
2025-01-31,EC事業部,アクセサリーセット,34,4980,169320,個人,—
2025-01-31,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2025-01-31,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-31,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-31,EC事業部,カスタマイズケース,30,2980,89400,個人,—
2025-01-31,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外代理店,北米
2025-01-31,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2025-01-31,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-31,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外直販,北米
